"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","111","FAQ: при клике на вопрос #6 открывается правильный ответ","tests","2026-02-09","passed","2026-02-09","TestMainPageFAQ","test_main_page","",""
"","104","FAQ: при клике на вопрос #2 открывается правильный ответ","tests","2026-02-09","passed","2026-02-09","TestMainPageFAQ","test_main_page","",""
"","108","FAQ: при клике на вопрос #5 открывается правильный ответ","tests","2026-02-09","passed","2026-02-09","TestMainPageFAQ","test_main_page","",""
"","120","FAQ: при клике на вопрос #0 открывается правильный ответ","tests","2026-02-09","passed","2026-02-09","TestMainPageFAQ","test_main_page","",""
"","117","FAQ: при клике на вопрос #4 открывается правильный ответ","tests","2026-02-09","passed","2026-02-09","TestMainPageFAQ","test_main_page","",""
"","111","FAQ: при клике на вопрос #3 открывается правильный ответ","tests","2026-02-09","passed","2026-02-09","TestMainPageFAQ","test_main_page","",""
"","4255","Создание заказа через: top","tests","2026-02-09","passed","2026-02-09","","test_order_page","",""
"","108","FAQ: при клике на вопрос #7 открывается правильный ответ","tests","2026-02-09","passed","2026-02-09","TestMainPageFAQ","test_main_page","",""
"","105","FAQ: при клике на вопрос #1 открывается правильный ответ","tests","2026-02-09","passed","2026-02-09","TestMainPageFAQ","test_main_page","",""
"","4245","Создание заказа через: bottom","tests","2026-02-09","passed","2026-02-09","","test_order_page","",""
